sentiment,text,original_text,cleaned_text,korean_translation
0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Awww that s a bummer You shoulda got David Carr of Third Day to do it,awww that s a a bummer you whike the david carr를 셋째 날에 가져 갔어
0,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx,My poor little dumpling In Holmdel vids he was really trying Hope he dont try to hard tonight xx,Holmdel vids에서 나의 불쌍한 작은 만두 그는 오늘 밤 열심히 노력하지 않기를 바랐으며 xx
0,I'm off too bed. I gotta wake up hella early tomorrow morning. ,I'm off too bed. I gotta wake up hella early tomorrow morning. ,I m off too bed I gotta wake up hella early tomorrow morning,나도 잠자리에 든다. 내일 아침 일찍 헬라를 깨워
0,I havent been able to listen to it yet  My speakers are busted,I havent been able to listen to it yet  My speakers are busted,I havent been able to listen to it yet My speakers are busted,나는 그것을들을 수 없었지만 내 스피커는 파열되었습니다.
0,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt ,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt ,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt,이제 두 개의 미지의로 비교적 큰 방정식을 해결하는 것이 왜 엉덩이에 완전히 통증인지를 기억합니다.
0,"Ate too much, feel sick ","Ate too much, feel sick ",Ate too much feel sick,너무 많이 아프다
0,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...,Tried to purchase a parked domain through GoDaddy 70 down the drain kind of like gambling,Godaddy 70을 통해 주차 된 도메인을 구매하려고 시도했습니다.
1,on lunch....dj should come eat with me ,on lunch....dj should come eat with me ,on lunch dj should come eat with me,점심 시간에 DJ는 나와 함께 먹어야합니다
0,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month ,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month ,Just got back from VA Tech Equine Medical Center my poor Lilly has to be on stall rest for at least another month,방금 VA Tech Equine Medical Center에서 돌아 왔습니다. 내 가난한 Lilly는 적어도 한 달 동안 Stall Rest에 있어야합니다.
0,can't log in to my other twitter account. super bummed ,can't log in to my other twitter account. super bummed ,can t log in to my other twitter account super bummed,내 다른 트위터 계정에 로그인 할 수 없습니다.
1,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response ,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response ,Adventure That s what we all need in our life I am glad you had a great week Thanks for yr response,우리 모두가 우리 삶에서 필요한 모험 나는 당신이 좋은 한 주를 보내서 기뻐요.
1,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,Zach makes me pee sitting down And I m a grown gay man,Zach는 내가 앉아 앉아서 어른이 된 게이 남자
1,to sum up my day in one word ......... kackered! ,to sum up my day in one word ......... kackered! ,to sum up my day in one word kackered,내 하루를 한 단어로 요약하려면 Kackered
1,@k9wkj Great minds think alike ,@k9wkj Great minds think alike ,Great minds think alike,위대한 마음은 똑같이 생각합니다
0,is very tired and doesn't want to clean anymore ,is very tired and doesn't want to clean anymore ,is very tired and doesn t want to clean anymore,매우 피곤하고 더 이상 청소하고 싶지 않습니다.
1,@LochNessCullen thanks for the follow!  how are you nessie? ,@LochNessCullen thanks for the follow!  how are you nessie? ,thanks for the follow how are you nessie,다음 주셔서 감사합니다 Nessie는 어떻게 지내세요
1,"@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs ","@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs ",thanks guys added a couple of love handle inches after tayyabs,감사합니다. Tayyabs 이후에 두 개의 사랑 핸들 인치를 추가했습니다.
1,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ","i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",i m feeling quite sleepy today wish i could stay in bed today but OK is my LAST YEAR so let s go to school,오늘은 꽤 졸려요 오늘 침대에 머물 수 있기를 바랍니다.하지만 OK는 내 작년이므로 학교에 가자
0,"so sad...   tough game, went into PK's, screw you.","so sad...   tough game, went into PK's, screw you.",so sad tough game went into PK s screw you,너무 슬픈 힘든 게임은 PK S 나사로 들어갔습니다.
0,@pedromelian I miss you  I wish it was the 18th already!,@pedromelian I miss you  I wish it was the 18th already!,I miss you I wish it was the 18th already,보고 싶어요 이미 18 일 이었으면 좋겠어
0,I'm leaving in a while... ,I'm leaving in a while... ,I m leaving in a while,나는 한동안 떠난다
0,Oh  I've lost my ipod. What a dickhead I am.,Oh  I've lost my ipod. What a dickhead I am.,Oh I ve lost my ipod What a dickhead I am,"오, 나는 내 iPod을 잃어 버렸어"
1,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Whaddup Whaddup Whaddup Whaddup Whaddup I Got white girl swag from MY HEAD TO MY shOES Whaddup,whaddup whaddup whaddup whaddup whaddup 나는 내 머리에서 내 신발까지 흰 여자를 whaddup에 얻었다
1,@tom_e_white http://my.safaribooksonline.com/9780596521974 -- congrats on getting out the Hadoop book (esp the ZooKeeper chapter  ),@tom_e_white http://my.safaribooksonline.com/9780596521974 -- congrats on getting out the Hadoop book (esp the ZooKeeper chapter  ),congrats on getting out the Hadoop book esp the ZooKeeper chapter,Hadoop Book Esp Zookeeper 장을 축하합니다.
1,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Working on photos from Hillsong s 1 year celebration stay tuned,Hillsong의 1 년 축하 행사에서 사진 작업을 계속하십시오.
0,@PrincessSuperC I heard that supernatural and click flash didn't make the cut on the final product.....why Ciara why? ,@PrincessSuperC I heard that supernatural and click flash didn't make the cut on the final product.....why Ciara why? ,I heard that supernatural and click flash didn t make the cut on the final product why Ciara why,나는 초자연적이고 클릭 플래시가 마지막 제품을 절단하지 않았다고 들었습니다.
0,Willow seems almost better! Harper sounds worse  off to the Drs...,Willow seems almost better! Harper sounds worse  off to the Drs...,Willow seems almost better Harper sounds worse off to the Drs,버드 나무는 거의 더 좋아 보인다 Harper는 Drs에게 더 나쁜 소리가 나쁘게 보입니다.
1,MY FAVORITE WORD IS NO! ,MY FAVORITE WORD IS NO! ,MY FAVORITE WORD IS NO,내가 가장 좋아하는 단어는 아니오입니다
0,@ELEWW Dood - they've locked down your Vimeo WH video. ,@ELEWW Dood - they've locked down your Vimeo WH video. ,Dood they ve locked down your Vimeo WH video,그들은 당신의 vimeo wh 비디오를 잠그었다
0,is having information overload... getting dizzy  http://plurk.com/p/xugag,is having information overload... getting dizzy  http://plurk.com/p/xugag,is having information overload getting dizzy,정보 과부하가 현기증이 생기고 있습니다
1,@schel You're absolutely right! ,@schel You're absolutely right! ,You re absolutely right,당신은 절대적으로 옳습니다
